"location","year","season","tmax_avg"
"washingtondc",1980,"Spring",211.344262295082
"washingtondc",1980,"Summer",307.29347826087
"washingtondc",1980,"Fall",199.522222222222
"washingtondc",1981,"Winter",72.9655172413793
"washingtondc",1981,"Spring",186.274725274725
"washingtondc",1981,"Summer",295.413043478261
"washingtondc",1981,"Fall",191.952380952381
"washingtondc",1982,"Winter",57.1111111111111
"washingtondc",1982,"Spring",187.175824175824
"washingtondc",1982,"Summer",288.901098901099
"washingtondc",1982,"Fall",210.747252747253
"washingtondc",1983,"Winter",87.1666666666667
"washingtondc",1983,"Spring",172.164835164835
"washingtondc",1983,"Summer",309.703296703297
"washingtondc",1983,"Fall",210.120879120879
"washingtondc",1984,"Winter",67.043956043956
"washingtondc",1984,"Spring",163.336956521739
"washingtondc",1984,"Summer",296.619565217391
"washingtondc",1984,"Fall",204.8
"washingtondc",1985,"Winter",83.2696629213483
"washingtondc",1985,"Spring",202.483516483516
"washingtondc",1985,"Summer",295.494505494506
"washingtondc",1985,"Fall",220.674157303371
"washingtondc",1986,"Winter",65.5568181818182
"washingtondc",1986,"Spring",203.184782608696
"washingtondc",1986,"Summer",288.771739130435
"washingtondc",1986,"Fall",207.615384615385
"washingtondc",1987,"Winter",75.4555555555555
"washingtondc",1987,"Spring",200.152173913043
"washingtondc",1987,"Summer",316.521739130435
"washingtondc",1987,"Fall",209.736263736264
"washingtondc",1988,"Winter",75.4651162790698
"washingtondc",1988,"Spring",188.304347826087
"washingtondc",1988,"Summer",323.955056179775
"washingtondc",1988,"Fall",197.640449438202
"washingtondc",1989,"Winter",83.109375
"washingtondc",1989,"Spring",174.3
"washingtondc",1989,"Summer",300.066666666667
"washingtondc",1989,"Fall",243.213114754098
"washingtondc",1990,"Winter",84.3483146067416
"washingtondc",1990,"Spring",190.411111111111
"washingtondc",1990,"Summer",299.351648351648
"washingtondc",1990,"Fall",224.711111111111
"washingtondc",1991,"Winter",101.033333333333
"washingtondc",1991,"Spring",208.989130434783
"washingtondc",1991,"Summer",316.835164835165
"washingtondc",1991,"Fall",210.131868131868
"washingtondc",1992,"Winter",92.3076923076923
"washingtondc",1992,"Spring",171.858695652174
"washingtondc",1992,"Summer",288.304347826087
"washingtondc",1992,"Fall",191.813186813187
"washingtondc",1993,"Winter",71.5333333333333
"washingtondc",1993,"Spring",183.134831460674
"washingtondc",1993,"Summer",317.184782608696
"washingtondc",1993,"Fall",205.727272727273
"washingtondc",1994,"Winter",57.1309523809524
"washingtondc",1994,"Spring",190.157303370787
"washingtondc",1994,"Summer",308.366666666667
"washingtondc",1994,"Fall",214.703296703297
"washingtondc",1995,"Winter",86.8333333333333
"washingtondc",1995,"Spring",194.411111111111
"washingtondc",1995,"Summer",314.777777777778
"washingtondc",1996,"Winter",59.8666666666667
"washingtondc",1996,"Spring",161.730337078652
"washingtondc",1996,"Summer",295.696629213483
"washingtondc",1996,"Fall",181.285714285714
"washingtondc",1997,"Winter",76.7816091954023
"washingtondc",1997,"Spring",171.865168539326
"washingtondc",1997,"Summer",295
"washingtondc",1997,"Fall",196.639534883721
"washingtondc",1998,"Winter",106.360465116279
"washingtondc",1998,"Spring",203.920454545455
"washingtondc",1998,"Summer",317.443181818182
"washingtondc",1998,"Fall",223.53488372093
"washingtondc",1999,"Winter",104.411111111111
"washingtondc",1999,"Spring",194.271739130435
"washingtondc",1999,"Summer",327.95652173913
"washingtondc",1999,"Fall",213.868131868132
"washingtondc",2000,"Winter",90.5934065934066
"washingtondc",2000,"Spring",205.739130434783
"washingtondc",2000,"Summer",303.380434782609
"washingtondc",2000,"Fall",212.472527472527
"washingtondc",2001,"Winter",69.3181818181818
"washingtondc",2001,"Spring",193.597826086957
"washingtondc",2001,"Summer",312.652173913043
"washingtondc",2001,"Fall",235.707865168539
"washingtondc",2003,"Winter",48.3555555555556
"washingtondc",2003,"Spring",175.869565217391
"washingtondc",2003,"Summer",292.736263736264
"washingtondc",2003,"Fall",208.197802197802
"washingtondc",2004,"Winter",66.1208791208791
"washingtondc",2004,"Spring",204.141304347826
"washingtondc",2004,"Summer",290.101123595506
"washingtondc",2004,"Fall",204.428571428571
"washingtondc",2005,"Winter",84.0337078651685
"washingtondc",2005,"Spring",174.54347826087
"washingtondc",2005,"Summer",309.853333333333
"washingtondc",2005,"Fall",219.454545454545
"washingtondc",2006,"Winter",83.9125
"washingtondc",2006,"Spring",197.065217391304
"washingtondc",2006,"Summer",311.011111111111
"washingtondc",2006,"Fall",193.307692307692
"washingtondc",2007,"Winter",78.7790697674419
"washingtondc",2007,"Spring",193.133333333333
"washingtondc",2007,"Summer",314.133333333333
"washingtondc",2007,"Fall",223.044943820225
"washingtondc",2008,"Winter",80.7692307692308
"washingtondc",2008,"Spring",188.380434782609
"washingtondc",2008,"Summer",305.445652173913
"washingtondc",2008,"Fall",201.21978021978
"washingtondc",2009,"Winter",75.3863636363636
"washingtondc",2009,"Spring",203.698795180723
"washingtondc",2009,"Summer",315.181818181818
"washingtondc",2009,"Fall",207.539325842697
"washingtondc",2010,"Winter",55.9540229885057
